iter	Passed	Remaining
0	0	79
1	1	81
2	2	81
3	3	74
4	3	73
5	4	72
6	5	70
7	5	68
8	6	66
9	7	66
10	8	65
11	8	64
12	9	62
13	10	61
14	10	60
15	11	59
16	11	57
17	12	56
18	13	55
19	13	54
20	14	53
21	14	52
22	15	51
23	16	51
24	16	50
25	17	49
26	17	48
27	18	47
28	19	46
29	19	45
30	20	45
31	20	44
32	21	43
33	22	43
34	22	42
35	23	41
36	23	40
37	24	39
38	25	39
39	25	38
40	26	37
41	26	36
42	27	36
43	27	35
44	28	34
45	29	34
46	29	33
47	30	33
48	31	32
49	32	32
50	33	31
51	33	31
52	34	30
53	34	29
54	35	28
55	35	28
56	36	27
57	37	26
58	37	26
59	38	25
60	38	24
61	39	24
62	40	23
63	40	22
64	41	22
65	41	21
66	42	20
67	43	20
68	43	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	48	16
75	48	15
76	49	14
77	50	14
78	50	13
79	51	12
80	52	12
81	53	11
82	53	11
83	54	10
84	55	9
85	55	9
86	56	8
87	57	7
88	57	7
89	58	6
90	59	5
91	59	5
92	60	4
93	61	3
94	62	3
95	62	2
96	63	1
97	64	1
98	64	0
99	65	0
